City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Ranong,TH,75.25,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
572,Miandrivazo,MG,78.12,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
574,Am Timan,TD,77.77,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
579,Salta,AR,75.49,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
582,Majene,ID,77.65,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
588,Carupano,VE,80.49,overcast clouds,10.6678,-63.2585,Hotel La dorada
589,Omboue,GA,78.51,overcast clouds,-1.5746,9.2618,Hotel Olako
592,Mitsamiouli,KM,81.25,overcast clouds,-11.3847,43.2844,Foyer ADM
596,Puerto Narino,CO,85.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
600,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
601,Kolondieba,ML,81.37,broken clouds,11.0882,-6.8926,Hotel Dakan
610,Barahona,DO,84.02,few clouds,18.2085,-71.1008,Hotel Caribe
612,Paita,PE,81.16,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
618,Vallenar,CL,85.15,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
621,Port-Gentil,GA,80.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
626,Karratha,AU,82.71,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
628,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
631,San Isidro,PE,75.25,few clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
644,Tabou,CI,79.32,clear sky,4.423,-7.3528,hotêl doufoulougou
645,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
651,Chimbote,PE,76.01,scattered clouds,-9.0853,-78.5783,Hotel Briliá
655,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
660,Piacabucu,BR,82.99,clear sky,-10.4056,-36.4344,Piaçabuçu News
667,Diamantino,BR,79.16,overcast clouds,-14.4086,-56.4461,Hotel Delta
677,Kita,ML,80.73,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
680,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
688,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
690,Coahuayana,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
692,Santa Cruz,BO,89.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
698,San Luis,AR,89.17,clear sky,-33.295,-66.3356,Huarpes Hotel
