City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Port Elizabeth,ZA,2022-02-06 00:15:31,-33.918,25.5701,69.1,94,40,20.71
119,Pastavy,BY,2022-02-06 00:19:44,55.1168,26.8326,32.56,88,100,13.15
120,Barrow,US,2022-02-06 00:19:44,71.2906,-156.7887,-18.38,69,0,11.5
121,Souris,CA,2022-02-06 00:19:44,49.6172,-100.2612,7.74,97,99,2.82
122,Novoagansk,RU,2022-02-06 00:19:45,61.9449,76.6625,7.97,95,100,5.01
123,Esik,KZ,2022-02-06 00:19:45,43.3552,77.4525,13.42,38,0,9.35
124,Baijiantan,CN,2022-02-06 00:19:46,45.6333,85.1833,2.32,84,7,4.61
125,Kaili,ID,2022-02-06 00:19:46,-3.4626,120.2147,71.83,87,100,1.21
126,Jurbarkas,LT,2022-02-06 00:19:47,55.0778,22.7664,33.93,98,98,12.84
127,Ribeira Grande,PT,2022-02-06 00:19:47,38.5167,-28.7,59.72,73,29,12.33
128,Arraial Do Cabo,BR,2022-02-06 00:15:38,-22.9661,-42.0278,76.78,85,70,27.45
129,Gornja Radgona,SI,2022-02-06 00:19:48,46.6733,15.9922,38.55,87,50,6.13
130,Rabo De Peixe,PT,2022-02-06 00:19:48,37.8,-25.5833,59.27,89,20,10.36
131,Skibbereen,IE,2022-02-06 00:19:49,51.55,-9.2667,52.11,91,100,33.22
132,Ilulissat,GL,2022-02-06 00:19:49,69.2167,-51.1,-3.59,79,100,6.53
133,Bathsheba,BB,2022-02-06 00:19:50,13.2167,-59.5167,77.61,73,40,12.66
134,Nikolskoye,RU,2022-02-06 00:19:50,59.7035,30.7861,26.87,96,100,6.6
135,Longyearbyen,SJ,2022-02-06 00:19:51,78.2186,15.6401,10.24,61,20,20.71
136,Saldanha,ZA,2022-02-06 00:19:51,-33.0117,17.9442,68.07,70,43,4.34
137,Sembabule,UG,2022-02-06 00:19:52,-0.0772,31.4567,62.71,84,100,1.21
138,Sabirabad,AZ,2022-02-06 00:20:52,40.0095,48.4752,31.19,57,80,4.83
