City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Puerto Escondido,MX,15.85,-97.0667,85.03,70,40,11.5,scattered clouds
297,Ust-Kuyga,RU,70.0167,135.6,-42.97,100,100,7.45,overcast clouds
298,Buin,CL,-33.7333,-70.75,91.72,17,2,13.33,clear sky
299,Christchurch,NZ,-43.5333,172.6333,65.03,86,100,4.61,overcast clouds
300,Kaeo,NZ,-35.1,173.7833,74.32,98,89,8.28,overcast clouds
301,Alcala La Real,ES,37.4614,-3.923,49.62,55,0,4.0,clear sky
302,Fenoarivo,MG,-18.933,47.4354,69.87,88,75,4.61,light rain
303,Soeng Sang,TH,14.4264,102.4606,83.52,62,13,2.59,few clouds
304,Ginda,IN,30.6945,78.4932,40.86,68,90,5.1,overcast clouds
305,Cairns,AU,-16.9167,145.7667,75.15,93,22,9.22,few clouds
306,Iqaluit,CA,63.7506,-68.5145,-0.31,77,100,8.99,overcast clouds
307,Lloydminster,CA,53.2835,-110.0016,33.89,85,69,15.82,broken clouds
308,Juneau,US,58.3019,-134.4197,42.8,95,100,24.16,light rain
309,Eching,DE,48.3,11.6167,43.97,67,75,8.05,broken clouds
310,Mahebourg,MU,-20.4081,57.7,75.49,88,40,3.44,scattered clouds
311,Sal Rei,CV,16.1833,-22.9167,70.36,80,0,11.41,clear sky
312,Cabo San Lucas,MX,22.8909,-109.9124,83.5,49,0,8.05,clear sky
313,Santa Maria,BR,-29.6842,-53.8069,85.3,23,0,5.39,clear sky
314,Khuzhir,RU,53.1939,107.3397,4.46,86,20,5.99,few clouds
315,Noumea,NC,-22.2763,166.4572,82.0,99,96,16.69,overcast clouds
316,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,60,9.4,broken clouds
317,Caruray,PH,10.3094,119.0128,77.5,87,58,7.78,broken clouds
318,Tommot,RU,58.9564,126.2925,-9.22,100,100,1.86,overcast clouds
319,Manaus,BR,-3.1019,-60.025,77.49,94,75,17.27,thunderstorm with light rain
320,Minas Novas,BR,-17.2186,-42.5903,75.45,90,100,1.14,overcast clouds
321,Balkanabat,TM,39.5108,54.3671,44.56,52,47,12.86,scattered clouds
322,Monte Alegre,BR,-2.0078,-54.0692,84.42,73,77,3.53,light rain
323,Garissa,KE,-0.4536,39.6401,82.94,36,4,13.51,clear sky
324,Makakilo City,US,21.3469,-158.0858,79.12,59,20,11.5,few clouds
325,Charters Towers,AU,-20.1,146.2667,70.02,88,4,4.85,clear sky
326,College,US,64.8569,-147.8028,-3.42,74,75,5.75,broken clouds
327,Iskateley,RU,67.6803,53.1512,8.96,92,98,15.82,overcast clouds
328,Kralendijk,BQ,12.15,-68.2667,82.38,74,75,18.41,broken clouds
